date,title,category,entities_name,formatted_address,longitude,latitude,beat
11/4/2021,The Dinner Detective Interactive Mystery Dinner Show,performing-arts,null,null,-84.430213,33.906164,202
11/4/2021,2021 ATL WEEKEND  COMEDY SHOW (FREE),performing-arts,null,null,-84.46542,33.906576,202
11/4/2021,"AMBER, CHRISETTE MICHELE, Q PARKER & SUNSHINE ANDERSON LIVE- GET TIX @ DOOR",concerts,The Monticello,2000 Powers Ferry Rd SE Atlanta United States of America,-84.46542,33.90658,202
12/4/2021,FINAL FANTASY VII REMAKE Orchestra World Tour,performing-arts,Atlanta Symphony Hall,"1280 Peachtree Street Northeast Atlanta, GA 30309 United States of America",-84.384885,33.78956,502
12/4/2021,FREE HIBACHI GRILL ! FREE VIP ENTRY! THIS SUNDAY THE ULTIMATE CELEBRITY DAY PARTY ! PRE GAME!!,community,Eleven 45,"2110 Peachtree st NW Atlanta, GA 30309 United States of America",-84.3926,33.812,207
12/4/2021,Monday Madness - All Pizzas $10,community,vero pizzeria,"1441 Dresden Drive Atlanta, GA 30319 United States of America",-84.330081,33.860736,209
12/4/2021,Severe Delays - Fulton County Airport (FTY),airport-delays,Fulton County Airport-Brown Field,"3952 Aviation Circle Northwest Atlanta, GA 30336 United States of America",-84.521645,33.777091,114
12/4/2021,Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
12/4/2021,Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
12/4/2021,COBB Trade Show,expos,Cobb Galleria Centre,"2 Galleria Parkway Southeast Atlanta, GA 30339 United States of America",-84.466573,33.883316,201
12/4/2021,Trippin on Sundayz Headlined by Rob Stapleton,performing-arts,null,null,-84.401384,33.65517,313
12/4/2021,Philadelphia Phillies vs Atlanta Braves,sports,Truist Park,"755 Battery Avenue Southeast Atlanta, GA 30339 United States of America",-84.467771,33.890785,201
12/4/2021,ATL'S OWN YOUNG BLOODZ LIVE IN CONCERT APRIL 11TH,concerts,The Monticello,2000 Powers Ferry Rd SE Atlanta United States of America,-84.46542,33.90658,202
12/4/2021,Moderate to Significant Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
12/4/2021,Moderate Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
12/4/2021,Moderate Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
12/4/2021,Moderate Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
12/4/2021,Moderate Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
12/4/2021,Moderate to Severe Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
13/4/2021,Webinar - Getting Started with Big Data on AWS,conferences,null,null,-84.387982,33.748995,511
13/4/2021,"FREE Roof for YOUR HOUSE from CRAFT ROOFING, giving back to the community!",expos,null,null,-84.383102,33.787648,502
13/4/2021,LLTS CRAFT ROOFING COMPANY INTERVIEW,festivals,null,null,-84.383102,33.787648,502
13/4/2021,42 DUGG LIVE CONCERT IN ATLANTA!!,concerts,null,null,-84.38829,33.792162,501
13/4/2021,Severe Delays - Fulton County Airport (FTY),airport-delays,Fulton County Airport-Brown Field,"3952 Aviation Circle Northwest Atlanta, GA 30336 United States of America",-84.521645,33.777091,114
